title,parent_task,max_xp
C2_SimpleBashUtils,,250
C3_s21_string+,C2_SimpleBashUtils,500
C4_s21_math,C3_s21_string+,300
C5_s21_decimal,C4_s21_math,350
C6_s21_matrix,C5_s21_decimal,200
C7_SmartCalc_v1.0,C6_s21_matrix,500
C8_3DViewer_v1.0,C7_SmartCalc_v1.0,750
DO1_Linux,C3_s21_string+,300
DO2_LinuxNetwork,DO1_Linux,250
DO3_LinuxMonitoring_v1.0,DO2_LinuxNetwork,350
DO5_SimpleDocker,DO3_LinuxMonitoring_v1.0,300
DO6_CICD,DO5_SimpleDocker,300
CPP1_s21_matrix+,C8_3DViewer_v1.0,300
CPP2_containers,CPP1_s21_matrix+,350
CPP3_SmartCalc_v2.0,CPP2_containers,600
CPP4_3DViewer_v2.0,CPP3_SmartCalc_v2.0,750
CPP7_MLP,CPP4_3DViewer_v2.0,700
A1_Maze,CPP4_3DViewer_v2.0,300
A2_SimpleNavigator_v1.0,A1_Maze,400
A3_Parallels,A2_SimpleNavigator_v1.0,300
A6_Transactions,A2_SimpleNavigator_v1.0,700
A8_AlgorithmicTrading,A2_SimpleNavigator_v1.0,800
